Comment,Designator,Footprint,LCSC
WS2812B,"D1,D2,D3,D4,D5,D6,D7,D8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
0.1uF,"C1,C2,C3,C4,C5,C6,C7,C8",C_0603_1608Metric,C30926
Conn_01x04,J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
Conn_01x03,J1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
